alpha,c1,c2,lstnr-low,lstnr-high,AB-both,AB-bare,AB-exhaust,A-both,A-bare,A-exhaust,B-both,B-bare,B-exhaust,lstnr_mse,spkr_mse,lstnr_spkr_mse
9.0,0.01,2.0,0.0030218200561598014,0.21257936297570407,0.9125401412302051,0.08745985876979523,0,0,0.9999886614392404,1.1338560759029745e-05,0,0.9942242604258041,0.005775739574196154,0.0009086167226218895,0.43492699622313136,0.3560145635866751
9.0,0.01,3.0,0.003021785900820837,0.2116114966339844,0.9125401412302051,0.08745985876979523,0,0,0.9999999986006944,1.3993054260483342e-09,0,0.9999992830768599,7.169231396459923e-07,0.0009162687238390897,0.4369253195651138,0.35765094668488207
9.0,0.01,4.0,0.0030217858966057314,0.21161137704295443,0.9125401412302051,0.08745985876979523,0,0,0.9999999999998277,1.726880087276655e-13,0,0.999999999911525,8.847540763115799e-11,0.0009162697272129405,0.4369255685278427,0.3576511505640918
9.0,0.01,5.0,0.003021785896605213,0.2116113770281957,0.9125401412302051,0.08745985876979523,0,0,1.0,2.131139332520364e-17,0,0.9999999999999893,1.0918732723216259e-14,0.0009162697273367678,0.43692556855856707,0.3576511505892525
9.0,0.01,19.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,4.050485900215669e-72,0,1.0,2.0752361081575732e-69,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,18.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,3.2821427196908296e-68,0,1.0,1.6815812353935723e-65,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,17.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,2.659547791993532e-64,0,1.0,1.3625993881430014e-61,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,16.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,2.1550538967921388e-60,0,1.0,1.1041257201785606e-57,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,15.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,1.746258259415508e-56,0,1.0,8.94682337720149e-54,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,20.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,4.9986967140147353e-76,0,1.0,2.5610448154132944e-73,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,7.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,3.245720886744554e-25,0,1.0,1.6629207821251577e-22,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,8.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,4.005537787531892e-29,0,1.0,2.0522072793373362e-26,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,13.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,1.146592634190275e-48,0,1.0,5.874481468241887e-46,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,14.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,1.4150077235265168e-52,0,1.0,7.249686071065609e-50,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,12.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,9.290936345583539e-45,0,1.0,4.7601416368150275e-42,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,9.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,4.943226336211027e-33,0,1.0,2.532624982882801e-30,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,10.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,6.100425937079175e-37,0,1.0,3.1255075296259665e-34,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,11.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,7.528523697402394e-41,0,1.0,3.857182719025823e-38,0.0009162697273367822,0.4369255685585708,0.35765115058925556
9.0,0.01,6.0,0.003021785896605213,0.211611377028194,0.9125401412302051,0.08745985876979523,0,0,1.0,2.6300348750775516e-21,0,1.0,1.3474786662469452e-18,0.0009162697273367822,0.4369255685585708,0.35765115058925556
8.0,0.01,8.0,0.005577605204922255,0.253732547884392,0.8875812809764022,0.11241871902359775,0,0,1.0,5.726915043513325e-26,0,1.0,1.4669620049952758e-23,0.0013460049990758854,0.4289380598196014,0.3511940498522331
8.0,0.01,10.0,0.005577605204922255,0.253732547884392,0.8875812809764022,0.11241871902359775,0,0,1.0,6.444793850241299e-33,0,1.0,1.6508482553865803e-30,0.0013460049990758854,0.4289380598196014,0.3511940498522331
8.0,0.01,11.0,0.005577605204922255,0.253732547884392,0.8875812809764022,0.11241871902359775,0,0,1.0,2.1619874812918938e-36,0,1.0,5.5379789402025925e-34,0.0013460049990758854,0.4289380598196014,0.3511940498522331
8.0,0.01,14.0,0.005577605204922255,0.253732547884392,0.8875812809764022,0.11241871902359775,0,0,1.0,8.161793624923987e-47,0,1.0,2.0906615602648953e-44,0.0013460049990758854,0.4289380598196014,0.3511940498522331
